timestamp,close,rsi,macd_line,macd_hist,stoch_k,stoch_d,ema9,ema21,ema_signal,bollinger_width,bollinger_position,bollinger_squeeze,sar,sar_dev,atr,vol_score,obv_trend,sentiment_call,sentiment_put,sentiment_momentum,pattern,support_dist_pct,resistance_dist_pct,htf_5m_trend,market_regime,fibonacci_distance,fibonacci_warning,smart_money_trend,smart_money_bet,smart_money_strength,bid_ask_imbalance,hour_of_day,day_of_week,price_diff_t1,price_diff_t2,rsi_diff_t1,rsi_diff_t2,macd_hist_slope,stoch_diff,bollinger_pct_b,ema9_dev,ema21_dev,volatility_ratio,tick_count,tick_ratio,sentiment_change_t1,target_seconds,target_price,price_change,pnl_result
1783601955,641.867396685,44.1,-1.744e-09,-3.4583e-08,4.62,6.29,641.867396818934,641.867396843735,DOWN,754.950473,LOWER_HALF,0,641.867397078057,-6.1237e-08,1.56024e-07,0.24,DOWN,59,41,Neutral,Neutral,1e-08,4e-08,BULLISH,RANGING,1.2464e-08,0,put,54.94333333333333,1,0.0454,12,3,-1.4022e-08,-6.232e-09,-3.1063,-1.1153,-6.493e-09,-1.6611,0.153307,-2.0866e-08,-2.473e-08,0.951095,13,1.0833,1.0,1783602000,641.867396975,2.9e-07,1
1783601960,641.867396905,52.35,3.964e-09,-2.3099e-08,22.41,10.87,641.867396836147,641.867396849305,DOWN,757.933155,UPPER_HALF,0,641.867397059135,-2.4014e-08,1.60594e-07,0.25,UP,59,41,Neutral,Neutral,5e-08,1e-08,BULLISH,RANGING,5.029e-09,1,call,8.546666666666667,1,0.0453,12,3,3.4275e-08,2.0253e-08,8.2547,5.1484,1.1484e-08,11.545,0.600207,1.0727e-08,8.677e-09,0.972318,12,1.0,1.0,1783602000,641.867396975,7.000006e-08,1
1783601965,641.867396805,48.82,4.15e-10,-2.1319e-08,27.97,18.34,641.867396829918,641.867396845277,DOWN,706.210544,LOWER_HALF,0,641.86739704097,-3.6763e-08,1.63409e-07,0.25,DOWN,58,42,Neutral,Neutral,3e-08,3e-08,BULLISH,RANGING,6.232e-09,1,call,9.13,1,0.0455,12,3,-1.558e-08,1.8695e-08,-3.5289,4.7258,1.78e-09,9.6367,0.370393,-3.882e-09,-6.275e-09,0.985204,13,1.0656,-1.0,1783602000,641.867396975,1.7000002e-07,1
1783601970,641.867396785,48.12,-3.966e-09,-2.056e-08,36.65,29.01,641.867396820934,641.867396839797,DOWN,702.628492,LOWER_HALF,0,641.867397023531,-3.7162e-08,1.57808e-07,0.25,UP,58,42,Neutral,Neutral,3e-08,4e-08,BULLISH,RANGING,3.116e-09,1,put,20.62,1,0.047,12,3,-3.116e-09,-1.8695e-08,-0.6987,-4.2276,7.59e-10,7.6393,0.323723,-5.598e-09,-8.537e-09,0.960806,12,0.9836,-1.0,1783602060,641.867397105,3.2000003e-07,1
1783601975,641.86739668,44.52,-1.573e-08,-2.5859e-08,19.78,28.14,641.867396792747,641.86739682527,DOWN,738.207425,LOWER_HALF,0,641.86739700679,-5.0912e-08,1.56893e-07,0.24,DOWN,57,43,Neutral,Neutral,1e-08,0.0,BEARISH,RANGING,1.3243e-08,0,put,15.466666666666663,1,0.0501,12,3,-1.6359e-08,-1.9474e-08,-3.6023,-4.301,-5.299e-09,-8.3566,0.121173,-1.7566e-08,-2.2632e-08,0.95748,12,0.9836,0.0,1783602060,641.867397105,4.2500005e-07,1
1783601980,641.86739672,46.17,-2.1576e-08,-2.5364e-08,14.07,23.5,641.867396778198,641.8673968157,DOWN,728.101376,LOWER_HALF,0,641.867396990718,-4.2177e-08,1.60687e-07,0.25,UP,57,43,Neutral,Doji,1e-08,5e-08,BEARISH,RANGING,7.011e-09,1,put,5.113333333333333,1,0.0481,12,3,6.232e-09,-1.0127e-08,1.653,-1.9493,4.95e-10,-9.4292,0.19883,-9.067e-09,-1.491e-08,0.975138,12,0.9836,0.0,1783602060,641.867397105,3.8500002e-07,1
1783601985,641.86739673,46.6,-2.5113e-08,-2.3121e-08,10.79,14.88,641.867396768558,641.867396807909,DOWN,749.171792,LOWER_HALF,0,641.867396975289,-3.8215e-08,1.63138e-07,0.25,UP,57,43,Neutral,Neutral,2e-08,5e-08,BEARISH,RANGING,5.453e-09,1,put,5.113333333333333,1,0.047,12,3,1.558e-09,7.79e-09,0.4283,2.0813,2.243e-09,-4.0875,0.242654,-6.007e-09,-1.2138e-08,0.986394,13,1.0656,0.0,1783602060,641.867397105,3.7500001e-07,1
1783601990,641.867397,56.64,-6.059e-09,-3.254e-09,36.9,20.59,641.867396814847,641.867396825372,DOWN,751.030832,UPPER_HALF,0,641.867396605,6.1539e-08,1.74699e-07,0.27,UP,57,43,Neutral,Neutral,5e-08,-0.0,BEARISH,RANGING,9.771e-09,1,call,17.783333333333335,1,0.0483,12,3,4.2065e-08,4.3623e-08,10.0339,10.4623,1.9867e-08,16.3138,0.802866,2.8846e-08,2.7206e-08,1.036298,12,0.9836,0.0,1783602060,641.867397105,1.0500003e-07,1
1783601995,641.86739691,53.06,1.759e-09,3.651e-09,56.25,34.65,641.867396833877,641.867396833065,UP,753.064157,UPPER_HALF,0,641.8673966129,4.6287e-08,1.71506e-07,0.27,UP,57,43,Neutral,Neutral,4e-08,2e-08,BEARISH,RANGING,4.25e-09,1,call,17.263333333333335,1,0.0454,12,3,-1.4022e-08,2.8043e-08,-3.579,6.4549,6.905e-09,21.5979,0.606544,1.186e-08,1.1986e-08,1.022037,13,1.0656,0.0,1783602060,641.867397105,1.9499998e-07,1
1783602000,641.86739706,57.84,1.9829e-08,1.7378e-08,84.18,59.11,641.867396879102,641.867396853696,UP,801.308153,UPPER_HALF,0,641.867396628584,6.7213e-08,1.74613e-07,0.27,UP,57,43,Neutral,Neutral,6e-08,-0.0,BULLISH,RANGING,1.9094e-08,0,call,27.616666666666664,1,0.0436,13,3,2.3369e-08,9.348e-09,4.7819,1.203,1.3726e-08,25.0689,0.873785,2.8183e-08,3.2141e-08,1.03473,12,0.9677,0.0,1783602060,641.867397105,4.499998e-08,1
